City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dudinka,69.4058,86.1778,43.63,94,100,13.62,RU,1689448122
84,belmonte,-15.8631,-38.8828,72.93,90,98,12.8,BR,1689448123
85,turpan,42.9333,89.1667,100.13,12,10,2.42,CN,1689448123
86,buala,-8.145,159.5921,78.1,87,100,2.19,SB,1689448123
87,punta arenas,-53.15,-70.9167,35.71,69,0,25.32,CL,1689448123
88,tarfaya,27.9358,-12.9218,72.21,85,0,20.13,MA,1689448124
89,nemuro,43.3236,145.575,56.1,99,100,11.3,JP,1689448124
90,aoulef,26.9667,1.0833,101.53,6,0,0.96,DZ,1689448125
91,hondo,32.45,130.2,78.37,88,32,8.52,JP,1689448125
92,nampula,-15.1165,39.2666,65.16,77,100,6.02,MZ,1689448126
93,bangassou,4.7413,22.8184,73.38,82,92,2.59,CF,1689448126
94,saipan,15.1355,145.701,83.1,100,40,11.5,MP,1689448126
95,shingu,33.7333,135.9833,76.06,94,100,6.2,JP,1689448127
96,mejit,10.2753,170.8646,82.62,75,13,15.41,MH,1689448127
97,arkhangel'sk,64.5401,40.5433,61.18,73,98,3.76,RU,1689448127
98,betio village,1.358,172.9211,80.64,77,94,9.44,KI,1689448127
99,timaru,-44.4,171.25,47.07,41,56,3.0,NZ,1689448128
100,chonchi,-42.6128,-73.8092,48.11,82,63,4.83,CL,1689448128
101,san-pedro,4.7485,-6.6363,77.0,86,0,5.03,CI,1689448128
102,kudahuvadhoo,2.6708,72.8944,83.08,73,3,4.54,MV,1689448129
103,choibalsan,48.0667,114.5,63.64,58,2,6.13,MN,1689448129
104,acapulco de juarez,16.8634,-99.8901,89.42,62,100,6.91,MX,1689448079
105,kirkwall,58.9848,-2.9587,57.96,94,75,13.8,GB,1689448130
106,longyearbyen,78.2186,15.6401,57.04,47,0,16.11,SJ,1689448130
107,glace bay,46.1969,-59.957,82.58,66,100,13.71,CA,1689448130
108,kavaratti,10.5669,72.642,82.53,80,100,15.01,IN,1689448130
109,wailua homesteads,22.0669,-159.378,77.79,83,75,6.91,US,1689448131
110,mogadishu,2.0371,45.3438,77.04,83,100,16.08,SO,1689447856
111,inhambane,-23.865,35.3833,65.17,78,0,3.53,MZ,1689448131
112,hithadhoo,-0.6,73.0833,82.13,75,2,3.06,MV,1689448132
113,tolanaro,-25.0319,46.9987,67.08,67,100,10.98,MG,1689448132
114,sola,-13.8833,167.55,77.59,79,100,28.41,VU,1689448132
115,callao,-12.0667,-77.15,76.71,64,100,11.5,PE,1689448132
116,iskateley,67.6803,53.1512,62.29,65,11,2.98,RU,1689448133
117,whitehorse,60.7161,-135.0538,74.1,44,0,13.0,CA,1689448133
118,yanchep,-31.55,115.6833,43.61,58,0,9.78,AU,1689448138
119,invercargill,-46.4,168.35,46.63,87,69,15.59,NZ,1689448139
